spinningWhinningOrGearGrinding,badCarbuerator,repeatingClickSound,badTimingChain,harmonicBalancer,ignitionMisFire,vacuumLeaks,engineHesitation,cranksNormallyNotStarting,crankSlow,noFuelPressure,carbueratorStalling,pistonNotWorking,overHeating,corrodedBatteryTerminal,engineTuneUp,wornDistributor,lowCoolantLevel,badStarter,highIdle,weakBattery,engineVibration,sparkPlug,stuckThermostat,stalling,fuelSystemCleaning,faultyFuelFilter,faultyEngineCoolingFan,wornEngineMounts,idleFluctuates,roughRunningEngine,cloggedAirFilter,oneStrongClickOrKnock,brokenMissingFanAssembly,badIgnitionSytem,vehicleBackFiring,engineMisFiring,noSpark,ignitionCoilForSpark,vehicleRunsHot,fuelPumpReplacement
"1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","0","1","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","1","1","0","0"
"1","1","1","0","1","1","0","1","1","0","1","1","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","0","1","1"
"1","1","1","1","0","0","1","1","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","1","0","1","0","1","0","0"
"0","1","1","0","0","1","1","1","1","1","1","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1"
"0","0","1","1","0","1","0","0","0","0","1","0","1","0","1","1","1","0","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","1","1","0","1"
"0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","0","1","0","1","0","0","1","0","0","1","1","1","1","0"
"1","1","0","1","1","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","0","1","0","0","1","1","1","1","1","0","1","0","1","1","1","1"
"1","1","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","1","0","1","0","1","1","1","1"
"0","1","0","1","1","0","1","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1"
"1","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","1","0","0","1","1","1","1","0","1","1","1","0","1","1","1","0","1","1","0","0","0","0","0","1","0"
"0","0","1","0","1","1","1","1","0","1","1","0","0","0","1","1","1","1","0","1","1","0","1","1","1","1","0","1","1","0","1","1","1","1","1","0","0","0","0","0","0"
"0","1","1","1","0","1","1","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","1","1","0","1","0","1","0"
"0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","0","0"
"0","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","0","1","0","1","1","1","0","0","1","1","0","1"
"1","1","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","0","0","1","0","1","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","0","1","1","1"
"0","0","1","1","0","1","1","0","0","0","1","1","1","0","1","1","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","1","0"
"1","1","0","0","0","1","0","1","1","1","0","1","0","1","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","0","1"
"0","1","0","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","1","1","1","1","0","1","1","1","0","1","1","1","1","0","0","0","1","1","0","0","0","1","1"
"1","0","1","0","1","0","1","1","0","0","0","0","1","1","1","1","1","1","0","0","1","0","1","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0","0","1","1"
