id,name,symptom
1,badCarbuerator,1
2,weakBattery,1
3,badStarter,1
4,noFuelPressure,1
5,faultyFuelFilter,1
6,cloggedAirFilter,1
7,wornDistributor,1
8,wornEngineMounts,1
9,harmonicBalancer,1
10,vacuumLeaks,1
11,engineTuneUp,1
12,sparkPlug,1
13,pistonNotWorking,1
14,lowCoolantLevel,1
15,faultyEngineCoolingFan,1
16,stuckThermostat,1
17,corrodedBatteryTerminal,1
18,fuelSystemCleaning,1
19,fuelPumpReplacement,1
20,badIgnitionSytem,1
21,badTimingChain,1
22,brokenMissingFanAssembly,1
23,noSpark,1
24,ignitionCoilForSpark,1
