id,name,symptom
1,carbueratorStalling,1
2,crankSlow,1
3,cranksNormallyNotStarting,1
4,engineHesitation,1
5,engineMisFiring,1
6,engineVibration,1
7,highIdle,1
8,idleFluctuates,1
9,ignitionMisFire,1
10,oneStrongClickOrKnock,1
11,overHeating,1
12,repeatingClickSound,1
13,roughRunningEngine,1
14,spinningWhinningOrGearGrinding,1
15,stalling,1
16,vehicleBackFiring,1
17,vehicleRunsHot,1
18,badCarbuerator,0
19,weakBattery,0
20,badStarter,0
21,noFuelPressure,0
22,faultyFuelFilter,0
23,cloggedAirFilter,0
24,wornDistributor,0
25,wornEngineMounts,0
26,harmonicBalancer,0
27,vacuumLeaks,0
28,engineTuneUp,0
29,sparkPlug,0
30,pistonNotWorking,0
31,lowCoolantLevel,0
32,faultyEngineCoolingFan,0
33,stuckThermostat,0
34,corrodedBatteryTerminal,0
35,fuelSystemCleaning,0
36,fuelPumpReplacement,0
37,badIgnitionSytem,0
38,badTimingChain,0
39,brokenMissingFanAssembly,0
40,noSpark,0
41,ignitionCoilForSpark,0
